epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
181,3925.32,0.59738,0.44017,0.96254,0.8602,0.63773,0.72228,0.56184,1.01146,0.99286,1.32249,0.00013625,0.00013625,0.00013625
182,3946.9,0.62872,0.46194,0.97181,0.86039,0.68022,0.73627,0.5756,0.99462,1.02866,1.31605,0.000130062,0.000130062,0.000130062
183,3968.47,0.61346,0.45864,0.9743,0.75483,0.69517,0.72165,0.56369,0.99071,1.00745,1.31198,0.000123875,0.000123875,0.000123875
184,3989.94,0.60869,0.4408,0.9644,0.85692,0.69017,0.73594,0.57598,0.98622,0.97689,1.30393,0.000117687,0.000117687,0.000117687
185,4011.35,0.60246,0.43903,0.95727,0.90093,0.62036,0.72734,0.56534,0.98788,1.00595,1.30351,0.0001115,0.0001115,0.0001115
186,4033.07,0.6046,0.46004,0.97268,0.80814,0.70317,0.74177,0.58287,0.96987,0.94554,1.28567,0.000105312,0.000105312,0.000105312
187,4054.8,0.61078,0.4501,0.96469,0.91206,0.62747,0.72851,0.56858,0.99072,0.99807,1.31292,9.9125e-05,9.9125e-05,9.9125e-05
188,4076.22,0.60517,0.43899,0.96314,0.92335,0.65769,0.73694,0.581,0.97976,0.99052,1.30392,9.29375e-05,9.29375e-05,9.29375e-05
189,4097.79,0.60405,0.45733,0.96869,0.8864,0.66617,0.73932,0.57756,0.99429,0.9712,1.32402,8.675e-05,8.675e-05,8.675e-05
190,4119.52,0.62039,0.45319,0.96799,0.79959,0.68304,0.72499,0.57116,0.97167,0.97758,1.2954,8.05625e-05,8.05625e-05,8.05625e-05
191,4143.69,0.58268,0.40954,0.97097,0.75918,0.64375,0.69075,0.53824,0.99957,1.0186,1.33648,7.4375e-05,7.4375e-05,7.4375e-05
192,4165.35,0.54923,0.39921,0.95493,0.77826,0.69411,0.71317,0.55649,1.00602,1.0116,1.3344,6.81875e-05,6.81875e-05,6.81875e-05
193,4186.86,0.55423,0.39065,0.95971,0.74456,0.70157,0.7145,0.55773,1.02755,1.02632,1.34884,6.2e-05,6.2e-05,6.2e-05
194,4208.28,0.56485,0.38754,0.96495,0.75098,0.69372,0.70152,0.54955,1.0129,1.01695,1.33678,5.58125e-05,5.58125e-05,5.58125e-05
195,4229.8,0.54265,0.37553,0.96127,0.74609,0.6863,0.70435,0.55193,1.00878,1.04834,1.3311,4.9625e-05,4.9625e-05,4.9625e-05
196,4251.35,0.53591,0.37778,0.94866,0.75546,0.69626,0.71929,0.56208,1.00811,1.0462,1.33127,4.34375e-05,4.34375e-05,4.34375e-05
197,4272.72,0.54621,0.38266,0.95791,0.78395,0.68874,0.72194,0.56735,1.00754,1.01956,1.32759,3.725e-05,3.725e-05,3.725e-05
198,4294.26,0.54355,0.37144,0.95065,0.78297,0.683,0.70749,0.55595,1.01746,1.04995,1.34296,3.10625e-05,3.10625e-05,3.10625e-05
199,4315.85,0.54142,0.377,0.96088,0.77958,0.68411,0.71897,0.56675,1.00606,1.05598,1.3357,2.4875e-05,2.4875e-05,2.4875e-05
200,4337.45,0.53822,0.36946,0.95244,0.79267,0.68183,0.71671,0.56576,0.99854,1.06357,1.3307,1.86875e-05,1.86875e-05,1.86875e-05
