epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,926.938,1.16581,1.12572,1.31763,0.81339,0.48453,0.62397,0.41056,1.29627,1.32551,1.50267,0.000996313,0.000996313,0.000996313
43,948.778,1.13067,1.11335,1.30148,0.49889,0.56533,0.54482,0.36526,1.28338,1.24955,1.48608,0.000990125,0.000990125,0.000990125
44,970.482,1.14355,1.15492,1.30034,0.49782,0.53643,0.53717,0.34544,1.35626,1.27224,1.55429,0.000983938,0.000983938,0.000983938
45,991.92,1.12119,1.09177,1.30007,0.52522,0.57745,0.55377,0.36642,1.35851,1.32954,1.54588,0.00097775,0.00097775,0.00097775
46,1013.57,1.10937,1.03597,1.30713,0.49925,0.61072,0.57008,0.36889,1.34159,1.25798,1.53304,0.000971562,0.000971562,0.000971562
47,1035.09,1.13058,1.09554,1.30213,0.69852,0.59757,0.64942,0.44642,1.29159,1.19199,1.4896,0.000965375,0.000965375,0.000965375
48,1056.76,1.10171,1.04633,1.28225,0.58112,0.56524,0.5585,0.37072,1.26427,1.18832,1.45284,0.000959187,0.000959187,0.000959187
49,1078.5,1.08363,1.04544,1.25971,0.7125,0.50427,0.5834,0.38439,1.35774,1.24264,1.54643,0.000953,0.000953,0.000953
50,1099.98,1.06008,0.98873,1.2505,0.42907,0.72174,0.59953,0.40137,1.24735,1.26604,1.46791,0.000946812,0.000946812,0.000946812
51,1121.43,1.10168,1.05296,1.26537,0.61899,0.63774,0.64447,0.4208,1.30296,1.18755,1.47878,0.000940625,0.000940625,0.000940625
52,1143.03,1.09366,0.99984,1.24826,0.78576,0.4916,0.55299,0.36793,1.24669,1.14629,1.45159,0.000934438,0.000934438,0.000934438
53,1164.64,1.09074,0.99534,1.27851,0.72617,0.59557,0.63583,0.41289,1.3087,1.1888,1.51377,0.00092825,0.00092825,0.00092825
54,1186.04,1.05572,0.98096,1.26224,0.59334,0.54554,0.58445,0.39846,1.23741,1.24262,1.45901,0.000922063,0.000922063,0.000922063
55,1207.55,1.05818,0.97789,1.24551,0.61941,0.56097,0.618,0.41305,1.2576,1.29638,1.46204,0.000915875,0.000915875,0.000915875
56,1229.04,1.02165,0.96661,1.23732,0.75691,0.5933,0.6261,0.4339,1.25701,1.20277,1.46601,0.000909688,0.000909688,0.000909688
57,1250.64,1.06195,0.99239,1.2525,0.63452,0.67059,0.65431,0.4354,1.27468,1.1479,1.52131,0.0009035,0.0009035,0.0009035
58,1272.01,1.03826,0.9404,1.23592,0.68827,0.57314,0.64781,0.46084,1.21006,1.11148,1.43173,0.000897313,0.000897313,0.000897313
59,1293.9,1.03005,0.9451,1.23393,0.61621,0.57049,0.60617,0.39984,1.26864,1.254,1.48459,0.000891125,0.000891125,0.000891125
60,1315.4,1.02868,0.92403,1.24669,0.71687,0.4968,0.62226,0.42777,1.20553,1.15702,1.45047,0.000884938,0.000884938,0.000884938
61,1336.86,1.01703,0.92699,1.21884,0.79221,0.61588,0.65838,0.4492,1.23036,1.12242,1.43417,0.00087875,0.00087875,0.00087875
62,1358.33,1.00582,0.91519,1.21258,0.80913,0.52369,0.63614,0.42352,1.2954,1.14704,1.49542,0.000872563,0.000872563,0.000872563
63,1379.88,1.01694,0.90231,1.2064,0.69977,0.51697,0.58757,0.40649,1.22404,1.14695,1.42667,0.000866375,0.000866375,0.000866375
64,1401.31,1.01034,0.93434,1.21073,0.76559,0.58247,0.65851,0.4521,1.24275,1.26855,1.45412,0.000860188,0.000860188,0.000860188
65,1422.7,1.0162,0.92987,1.21785,0.61227,0.56999,0.61269,0.41264,1.20192,1.17041,1.42499,0.000854,0.000854,0.000854
66,1444.37,0.97905,0.87646,1.19687,0.64752,0.548,0.61389,0.42605,1.19375,1.09029,1.39962,0.000847813,0.000847813,0.000847813
67,1465.79,0.97663,0.90476,1.18435,0.74619,0.60725,0.65329,0.46039,1.20613,1.16385,1.42274,0.000841625,0.000841625,0.000841625
